"Ženska imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Bukurije";42;40;49;51;52;52
"Burbuqe";5;5;7;6;5;-
"Carina";6;6;5;5;5;5
"Carka";5;6;6;6;6;6
"Carmela";5;-;-;-;-;5
"Carmen";138;133;132;133;133;131
"Carolina";15;15;16;17;19;21
"Caroline";5;5;6;6;7;6
"Caterina";10;10;12;12;12;10
"Catherine";-;5;6;6;5;5
"Cecilija";2082;2018;1977;1922;1867;1810
"Cecilija Marija";10;10;10;10;10;10
"Celestina";53;53;52;50;49;47
"Cenka";5;5;5;5;5;5
"Chanel";-;-;-;-;-;5
"Chantal";-;5;6;6;8;8
"Charlotte";10;10;10;9;9;7
"Chiara";42;50;50;53;54;57
"Christina";13;14;15;14;14;12
"Christine";12;11;10;9;9;9
"Cica";7;7;7;7;7;6
"Cicilija";10;10;10;9;9;9
"Cilika";12;12;13;12;12;12
"Cilka";162;160;159;157;155;152
"Cindy";13;13;14;14;14;14
"Cintia";-;-;-;-;-;5
"Cirila";701;690;682;674;661;653
"Cirila Marija";5;5;-;-;-;-
"Cirila Metoda";8;8;8;8;8;6
"Cirilka";5;5;5;5;5;5
"Cita";105;101;100;94;87;83
"Clara";19;20;20;21;22;23
"Clarissa";5;5;5;5;5;5
"Claudia";152;148;150;150;153;144
"Claudija";5;5;5;5;5;5
"Clavdia";5;-;-;-;-;-
"Clea";6;7;8;8;8;9
"Corina";5;8;9;9;8;9
"Cornelia";11;10;11;11;10;9
"Cristina";18;20;20;21;24;24
"Cveta";136;133;131;128;126;124
"Cvetana";40;39;38;37;35;33
"Cvetanka";7;7;6;7;7;9
"Cvetka";3938;3906;3881;3859;3826;3787
"Cvetka Florijana";7;6;6;6;6;6
"Cvetka Florjana";7;6;6;6;6;6
"Cvetka Marija";14;13;13;13;13;13
"Cvetka Terezija";40;41;41;39;37;33
"Cvetoslava";5;5;5;5;5;5
"Cvija";39;39;39;39;39;38
"Cvijeta";145;142;143;142;142;139
"Cvita";9;9;9;9;8;8
"Cvjeta";5;5;5;5;6;6
